00/0        SLDT Rv/Mw
8B          JNP/JPO Jz (f64)
8C          JL/JNGE Jz (f64)
8D          JNL/JGE Jz (f64)
8E          JLE/JNG Jz (f64)
8F          JNLE/JG Jz (f64)
90          SETO Eb
91          SETNO Eb
92          SETB/C/NAE Eb
93          SETAE/NB/NC Eb
94          SETE/Z Eb
95          SETNE/NZ Eb
96          SETBE/NA Eb
97          SETA/NBE Eb
98          SETS Eb
99          SETNS Eb
9A          SETP/PE Eb
9B          SETNP/PO Eb
9C          SETL/NGE Eb
9D          SETNL/GE Eb
9E          SETLE/NG Eb
9F          SETNLE/G Eb
A0          PUSH FS (d64)
A1          POP FS (d64)
A2          CPUID
A3          BT Ev,Gv
A4          SHLD Ev,Gv,Ib
A5          SHLD Ev,Gv,CL
A8          PUSH GS (d64)
A9          POP GS (d64)
AA          RSM
AB          BTS Ev,Gv
AC          SHRD Ev,Gv,Ib
AD          SHRD Ev,Gv,CL
AE/0        fxsave
AE/1        fxrstor
AE/2       (v)ldmxcsr Md (v1)
AE/3       (v)stmxcsr Md (v1)
AE/4        XSAVE
AE/5        XRSTOR
AE/5        lfence (11B)
AE/6        XSAVEOPT
AE/6        mfence (11B)
AE/7        clflush
AE/7        sfence (11B)
AF          IMUL Gv,Ev
B0          CMPXCHG Eb,Gb
B1          CMPXCHG Ev,Gv
B2          LSS Gv,Mp
B3          BTR Ev,Gv
B4          LFS Gv,Mp
B5          LGS Gv,Mp
B6          MOVZX Gv,Eb
B7          MOVZX Gv,Ew
B8          JMPE (!F3)
B8          POPCNT Gv,Ev (F3) (REP)
B9/0        UD1
B9/1        UD1
B9/2        UD1
B9/3        UD1
B9/4        UD1
B9/5        UD1
B9/6        UD1
B9/7        UD1
BA/4        BT Ev,Ib
BA/5        BTS Ev,Ib
BA/6        BTR Ev,Ib
BA/7        BTC Ev,Ib
BB          BTC Ev,Gv
BC          BSF Gv,Ev (!F3)
BC          TZCNT Gv,Ev (F3) (REP)
BD          BSR Gv,Ev (!F3)
BD          LZCNT Gv,Ev (F3) (REP)
BE          MOVSX Gv,Eb
BF          MOVSX Gv,Ew
C0          XADD Eb,Gb
C1          XADD Ev,Gv
C2         (v)cmpps Vps,Hps,Wps,Ib
C2         (v)cmppd Vpd,Hpd,Wpd,Ib (66) (opdsize)
C2         (v)cmpss Vss,Hss,Wss,Ib (F3),(v1) (REP)
C2         (v)cmpsd Vsd,Hsd,Wsd,Ib (F2),(v1) (REPNE)
C3          movnti My,Gy
C4          pinsrw Pq,Ry/Mw,Ib
C4         (v)pinsrw Vdq,Hdq,Ry/Mw,Ib (66),(v1) (opdsize)
C5          pextrw Gd,Nq,Ib
